date,datetime,SPOSTMIN,SACTMIN
05/26/2017,2017-05-26 09:09:00,-999,
05/26/2017,2017-05-26 09:10:00,5,
05/26/2017,2017-05-26 09:17:00,45,
05/26/2017,2017-05-26 09:24:00,45,
05/26/2017,2017-05-26 09:30:00,45,
05/26/2017,2017-05-26 09:38:00,-999,
05/26/2017,2017-05-26 09:45:00,45,
05/26/2017,2017-05-26 09:53:00,45,
05/26/2017,2017-05-26 09:59:00,45,
05/26/2017,2017-05-26 10:17:00,60,
05/26/2017,2017-05-26 10:24:00,75,
05/26/2017,2017-05-26 10:38:00,75,
05/26/2017,2017-05-26 10:45:00,75,
05/26/2017,2017-05-26 10:52:00,60,
05/26/2017,2017-05-26 10:59:00,60,
05/26/2017,2017-05-26 11:03:00,60,
05/26/2017,2017-05-26 11:10:00,60,
05/26/2017,2017-05-26 11:11:00,-999,
05/26/2017,2017-05-26 11:17:00,60,
05/26/2017,2017-05-26 11:30:00,60,
05/26/2017,2017-05-26 11:38:00,60,
05/26/2017,2017-05-26 11:45:00,60,
05/26/2017,2017-05-26 11:52:00,60,
05/26/2017,2017-05-26 11:59:00,60,
05/26/2017,2017-05-26 12:03:00,60,
05/26/2017,2017-05-26 12:04:00,-999,
05/26/2017,2017-05-26 12:10:00,60,
05/26/2017,2017-05-26 12:17:00,60,
05/26/2017,2017-05-26 12:24:00,60,
05/26/2017,2017-05-26 12:30:00,60,
05/26/2017,2017-05-26 12:38:00,40,
05/26/2017,2017-05-26 12:45:00,40,
05/26/2017,2017-05-26 12:52:00,40,
05/26/2017,2017-05-26 12:59:00,60,
05/26/2017,2017-05-26 13:03:00,60,
05/26/2017,2017-05-26 13:10:00,60,
05/26/2017,2017-05-26 13:17:00,60,
05/26/2017,2017-05-26 13:30:00,60,
05/26/2017,2017-05-26 13:38:00,60,
05/26/2017,2017-05-26 13:45:00,60,
05/26/2017,2017-05-26 13:52:00,60,
05/26/2017,2017-05-26 13:59:00,50,
05/26/2017,2017-05-26 14:03:00,60,
05/26/2017,2017-05-26 14:10:00,60,
05/26/2017,2017-05-26 14:17:00,55,
05/26/2017,2017-05-26 14:24:00,55,
05/26/2017,2017-05-26 14:30:00,60,
05/26/2017,2017-05-26 14:38:00,50,
05/26/2017,2017-05-26 14:45:00,50,
05/26/2017,2017-05-26 14:52:00,50,
05/26/2017,2017-05-26 18:10:00,10,
05/26/2017,2017-05-26 18:17:00,10,
05/26/2017,2017-05-26 18:24:00,10,
