Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE
1,2010-02-12,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE
1,2010-02-19,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE
1,2010-02-26,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE
1,2010-03-05,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE
1,2010-03-12,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE
1,2010-03-19,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE
1,2010-03-26,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE
1,2010-04-02,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE
1,2010-04-09,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE
1,2010-04-16,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE
1,2010-04-23,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE
1,2010-04-30,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE
1,2010-05-07,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE
1,2010-05-14,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE
1,2010-05-21,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE
1,2010-05-28,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE
1,2010-06-04,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE
1,2010-06-11,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE
1,2010-06-18,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,FALSE
1,2010-06-25,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,FALSE
1,2010-07-02,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,FALSE
1,2010-07-09,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,FALSE
1,2010-07-16,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,FALSE
1,2010-07-23,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,FALSE
1,2010-07-30,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,FALSE
1,2010-08-06,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,FALSE
1,2010-08-13,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,FALSE
1,2010-08-20,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,FALSE
1,2010-08-27,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,FALSE
1,2010-09-03,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,FALSE
1,2010-09-10,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,TRUE
1,2010-09-17,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,FALSE
1,2010-09-24,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,FALSE
1,2010-10-01,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,FALSE
1,2010-10-08,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,FALSE
1,2010-10-15,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,FALSE
1,2010-10-22,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,FALSE
1,2010-10-29,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,FALSE
1,2010-11-05,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,FALSE
1,2010-11-12,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,FALSE
1,2010-11-19,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,FALSE
1,2010-11-26,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,TRUE
1,2010-12-03,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,FALSE
1,2010-12-10,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,FALSE
1,2010-12-17,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,FALSE
1,2010-12-24,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,FALSE
1,2010-12-31,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,TRUE
1,2011-01-07,48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,FALSE
1,2011-01-14,35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,FALSE
1,2011-01-21,44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,FALSE
1,2011-01-28,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,FALSE
1,2011-02-04,42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,FALSE
1,2011-02-11,36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,TRUE
1,2011-02-18,57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,FALSE
1,2011-02-25,62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,FALSE
1,2011-03-04,59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,FALSE
1,2011-03-11,53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,FALSE
1,2011-03-18,62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,FALSE
1,2011-03-25,69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,FALSE
1,2011-04-01,59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,FALSE
1,2011-04-08,67.84,3.622,NA,NA,NA,NA,NA,215.0743939,7.682,FALSE
1,2011-04-15,71.27,3.743,NA,NA,NA,NA,NA,215.2918561,7.682,FALSE
1,2011-04-22,72.99,3.807,NA,NA,NA,NA,NA,215.4599053,7.682,FALSE
1,2011-04-29,72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7.682,FALSE
1,2011-05-06,64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,FALSE
1,2011-05-13,75.64,3.899,NA,NA,NA,NA,NA,215.9640526,7.682,FALSE
1,2011-05-20,67.63,3.907,NA,NA,NA,NA,NA,215.7339202,7.682,FALSE
1,2011-05-27,77.72,3.786,NA,NA,NA,NA,NA,215.5037878,7.682,FALSE
1,2011-06-03,83,3.699,NA,NA,NA,NA,NA,215.2736553,7.682,FALSE
1,2011-06-10,83.13,3.648,NA,NA,NA,NA,NA,215.0435229,7.682,FALSE
