Store,Type,Size
1,A,151315
2,A,202307
3,B,37392
4,A,205863
5,B,34875
6,A,202505
7,B,70713
8,A,155078
9,B,125833
10,B,126512
11,A,207499
12,B,112238
13,A,219622
14,A,200898
15,B,123737
16,B,57197
17,B,93188
18,B,120653
19,A,203819
20,A,203742
21,B,140167
22,B,119557
23,B,114533
24,A,203819
25,B,128107
26,A,152513
27,A,204184
28,A,206302
29,B,93638
30,C,42988
31,A,203750
32,A,203007
33,A,39690
34,A,158114
35,B,103681
36,A,39910
37,C,39910
38,C,39690
39,A,184109
40,A,155083
41,A,196321
42,C,39690
43,C,41062
44,C,39910
45,B,118221
