date,datetime,SPOSTMIN,SACTMIN
05/26/2017,2017-05-26 09:06:00,-999,
05/26/2017,2017-05-26 09:10:00,5,
05/26/2017,2017-05-26 09:17:00,60,
05/26/2017,2017-05-26 09:24:00,60,
05/26/2017,2017-05-26 09:30:00,60,
05/26/2017,2017-05-26 09:38:00,45,
05/26/2017,2017-05-26 09:45:00,45,
05/26/2017,2017-05-26 09:53:00,45,
05/26/2017,2017-05-26 09:10:00,,47
05/26/2017,2017-05-26 09:59:00,45,
05/26/2017,2017-05-26 10:05:00,-999,
05/26/2017,2017-05-26 10:17:00,45,
05/26/2017,2017-05-26 10:24:00,55,
05/26/2017,2017-05-26 10:38:00,65,
05/26/2017,2017-05-26 10:45:00,65,
05/26/2017,2017-05-26 10:52:00,75,
05/26/2017,2017-05-26 10:59:00,75,
05/26/2017,2017-05-26 11:03:00,75,
05/26/2017,2017-05-26 11:10:00,85,
05/26/2017,2017-05-26 11:17:00,85,
05/26/2017,2017-05-26 11:30:00,85,
05/26/2017,2017-05-26 11:38:00,85,
05/26/2017,2017-05-26 11:45:00,85,
05/26/2017,2017-05-26 11:52:00,100,
05/26/2017,2017-05-26 11:59:00,100,
05/26/2017,2017-05-26 12:03:00,100,
05/26/2017,2017-05-26 12:10:00,100,
05/26/2017,2017-05-26 12:17:00,100,
05/26/2017,2017-05-26 12:24:00,105,
05/26/2017,2017-05-26 12:26:00,-999,
05/26/2017,2017-05-26 12:30:00,65,
05/26/2017,2017-05-26 12:38:00,70,
05/26/2017,2017-05-26 12:45:00,75,
05/26/2017,2017-05-26 11:44:00,,62
05/26/2017,2017-05-26 12:52:00,70,
05/26/2017,2017-05-26 12:59:00,70,
05/26/2017,2017-05-26 13:03:00,65,
05/26/2017,2017-05-26 13:10:00,75,
05/26/2017,2017-05-26 13:17:00,65,
05/26/2017,2017-05-26 11:44:00,,62
05/26/2017,2017-05-26 13:30:00,60,
05/26/2017,2017-05-26 13:35:00,-999,
05/26/2017,2017-05-26 13:38:00,65,
05/26/2017,2017-05-26 13:45:00,65,
05/26/2017,2017-05-26 13:52:00,65,
05/26/2017,2017-05-26 13:59:00,65,
05/26/2017,2017-05-26 14:03:00,75,
05/26/2017,2017-05-26 14:10:00,70,
05/26/2017,2017-05-26 14:17:00,70,
05/26/2017,2017-05-26 14:24:00,70,
05/26/2017,2017-05-26 14:30:00,70,
05/26/2017,2017-05-26 13:25:00,,75
05/26/2017,2017-05-26 18:10:00,10,
05/26/2017,2017-05-26 18:17:00,10,
05/26/2017,2017-05-26 18:24:00,10,
05/26/2017,2017-05-26 18:30:00,10,
05/26/2017,2017-05-26 18:38:00,10,
05/26/2017,2017-05-26 18:45:00,10,
05/26/2017,2017-05-26 18:52:00,10,
05/26/2017,2017-05-26 18:59:00,10,
05/26/2017,2017-05-26 19:03:00,10,
05/26/2017,2017-05-26 19:10:00,10,
05/26/2017,2017-05-26 19:17:00,10,
05/26/2017,2017-05-26 19:24:00,10,
05/26/2017,2017-05-26 19:30:00,10,
05/26/2017,2017-05-26 19:38:00,10,
05/26/2017,2017-05-26 19:45:00,10,
05/26/2017,2017-05-26 19:52:00,10,
05/26/2017,2017-05-26 19:59:00,20,
05/26/2017,2017-05-26 20:03:00,20,
05/26/2017,2017-05-26 20:10:00,20,
05/26/2017,2017-05-26 20:17:00,20,
05/26/2017,2017-05-26 20:24:00,20,
05/26/2017,2017-05-26 20:30:00,10,
05/26/2017,2017-05-26 20:38:00,10,
05/26/2017,2017-05-26 20:45:00,10,
05/26/2017,2017-05-26 20:52:00,10,
05/26/2017,2017-05-26 20:59:00,10,
05/26/2017,2017-05-26 21:03:00,10,
05/26/2017,2017-05-26 21:17:00,10,
05/26/2017,2017-05-26 21:24:00,10,
05/26/2017,2017-05-26 21:30:00,10,
05/26/2017,2017-05-26 21:38:00,10,
05/27/2017,2017-05-27 07:17:00,60,
05/27/2017,2017-05-27 07:01:00,,22
05/27/2017,2017-05-27 07:24:00,90,
05/27/2017,2017-05-27 07:30:00,90,
05/27/2017,2017-05-27 07:38:00,90,
05/27/2017,2017-05-27 07:52:00,120,
05/27/2017,2017-05-27 08:03:00,195,
05/27/2017,2017-05-27 08:10:00,195,
05/27/2017,2017-05-27 08:17:00,195,
05/27/2017,2017-05-27 08:24:00,195,
05/27/2017,2017-05-27 08:30:00,195,
05/27/2017,2017-05-27 07:51:00,,47
05/27/2017,2017-05-27 08:38:00,195,
05/27/2017,2017-05-27 08:45:00,195,
05/27/2017,2017-05-27 08:52:00,195,
05/27/2017,2017-05-27 08:59:00,195,
05/27/2017,2017-05-27 09:03:00,195,
05/27/2017,2017-05-27 09:10:00,195,
05/27/2017,2017-05-27 09:17:00,250,
05/27/2017,2017-05-27 09:24:00,250,
05/27/2017,2017-05-27 09:31:00,250,
05/27/2017,2017-05-27 09:38:00,250,
05/27/2017,2017-05-27 09:45:00,250,
05/27/2017,2017-05-27 09:52:00,250,
05/27/2017,2017-05-27 09:59:00,250,
05/27/2017,2017-05-27 10:03:00,250,
05/27/2017,2017-05-27 10:10:00,250,
05/27/2017,2017-05-27 10:17:00,250,
05/27/2017,2017-05-27 10:30:00,250,
05/27/2017,2017-05-27 10:38:00,250,
05/27/2017,2017-05-27 10:45:00,250,
05/27/2017,2017-05-27 10:52:00,250,
05/27/2017,2017-05-27 10:59:00,250,
05/27/2017,2017-05-27 11:17:00,250,
05/27/2017,2017-05-27 11:24:00,250,
