date,datetime,SPOSTMIN,SACTMIN
06/30/2018,2018-06-30 07:44:00,270,
06/30/2018,2018-06-30 07:51:00,270,
06/30/2018,2018-06-30 07:58:00,270,
06/30/2018,2018-06-30 08:02:00,270,
06/30/2018,2018-06-30 08:09:00,270,
06/30/2018,2018-06-30 08:16:00,270,
06/30/2018,2018-06-30 08:23:00,270,
06/30/2018,2018-06-30 08:29:00,270,
06/30/2018,2018-06-30 08:37:00,270,
06/30/2018,2018-06-30 08:44:00,270,
06/30/2018,2018-06-30 08:51:00,270,
06/30/2018,2018-06-30 08:58:00,270,
06/30/2018,2018-06-30 09:02:00,270,
06/30/2018,2018-06-30 09:09:00,270,
06/30/2018,2018-06-30 09:16:00,270,
06/30/2018,2018-06-30 09:23:00,270,
06/30/2018,2018-06-30 09:29:00,270,
06/30/2018,2018-06-30 09:37:00,270,
06/30/2018,2018-06-30 09:44:00,270,
06/30/2018,2018-06-30 09:51:00,270,
06/30/2018,2018-06-30 09:58:00,270,
06/30/2018,2018-06-30 10:02:00,270,
06/30/2018,2018-06-30 10:09:00,270,
06/30/2018,2018-06-30 10:16:00,270,
06/30/2018,2018-06-30 10:23:00,270,
06/30/2018,2018-06-30 10:29:00,270,
06/30/2018,2018-06-30 10:37:00,270,
06/30/2018,2018-06-30 10:44:00,270,
06/30/2018,2018-06-30 10:51:00,270,
06/30/2018,2018-06-30 10:58:00,270,
06/30/2018,2018-06-30 11:02:00,270,
06/30/2018,2018-06-30 11:09:00,270,
06/30/2018,2018-06-30 11:16:00,270,
06/30/2018,2018-06-30 11:23:00,270,
06/30/2018,2018-06-30 11:29:00,270,
06/30/2018,2018-06-30 11:37:00,270,
06/30/2018,2018-06-30 11:44:00,270,
06/30/2018,2018-06-30 11:51:00,270,
06/30/2018,2018-06-30 11:58:00,270,
06/30/2018,2018-06-30 12:02:00,270,
06/30/2018,2018-06-30 12:06:00,300,
06/30/2018,2018-06-30 12:09:00,270,
06/30/2018,2018-06-30 12:16:00,270,
06/30/2018,2018-06-30 12:23:00,270,
06/30/2018,2018-06-30 12:29:00,270,
06/30/2018,2018-06-30 12:37:00,270,
06/30/2018,2018-06-30 12:44:00,270,
06/30/2018,2018-06-30 12:51:00,270,
06/30/2018,2018-06-30 12:58:00,270,
06/30/2018,2018-06-30 13:02:00,-999,
06/30/2018,2018-06-30 13:09:00,-999,
06/30/2018,2018-06-30 13:16:00,-999,
06/30/2018,2018-06-30 13:23:00,-999,
06/30/2018,2018-06-30 13:29:00,-999,
06/30/2018,2018-06-30 13:37:00,-999,
06/30/2018,2018-06-30 13:44:00,-999,
06/30/2018,2018-06-30 13:51:00,-999,
06/30/2018,2018-06-30 13:58:00,-999,
06/30/2018,2018-06-30 14:02:00,-999,
06/30/2018,2018-06-30 14:09:00,-999,
06/30/2018,2018-06-30 14:16:00,-999,
06/30/2018,2018-06-30 14:23:00,270,
06/30/2018,2018-06-30 14:29:00,270,
06/30/2018,2018-06-30 14:37:00,270,
06/30/2018,2018-06-30 14:44:00,270,
06/30/2018,2018-06-30 14:51:00,270,
06/30/2018,2018-06-30 14:58:00,270,
06/30/2018,2018-06-30 15:02:00,270,
06/30/2018,2018-06-30 15:09:00,270,
06/30/2018,2018-06-30 15:16:00,270,
06/30/2018,2018-06-30 15:23:00,270,
06/30/2018,2018-06-30 15:29:00,270,
06/30/2018,2018-06-30 15:37:00,270,
06/30/2018,2018-06-30 15:44:00,270,
06/30/2018,2018-06-30 15:51:00,270,
06/30/2018,2018-06-30 15:58:00,270,
06/30/2018,2018-06-30 16:02:00,270,
06/30/2018,2018-06-30 16:09:00,270,
06/30/2018,2018-06-30 16:16:00,270,
06/30/2018,2018-06-30 16:23:00,270,
06/30/2018,2018-06-30 16:29:00,270,
06/30/2018,2018-06-30 16:37:00,270,
06/30/2018,2018-06-30 16:44:00,270,
06/30/2018,2018-06-30 16:51:00,270,
06/30/2018,2018-06-30 16:58:00,270,
06/30/2018,2018-06-30 17:02:00,270,
06/30/2018,2018-06-30 17:09:00,200,
06/30/2018,2018-06-30 17:16:00,200,
06/30/2018,2018-06-30 17:23:00,200,
06/30/2018,2018-06-30 17:29:00,200,
06/30/2018,2018-06-30 17:37:00,200,
06/30/2018,2018-06-30 17:44:00,160,
06/30/2018,2018-06-30 17:51:00,160,
06/30/2018,2018-06-30 17:58:00,160,
06/30/2018,2018-06-30 18:02:00,160,
